studentid,Year,Subject,Course,Consent,Test
10086862,2014,DRAM,200,2,DNT
10086824,2014,DRAM,200,2,CAT
10097300,2014,DRAM,200,2,DNT
10090415,2014,DRAM,200,2,CAT
10099465,2014,DRAM,200,2,CAT
10089352,2014,DRAM,200,2,DNT
10102242,2014,DRAM,200,2,CAT
10102791,2014,DRAM,200,2,CAT
10103696,2014,DRAM,200,2,CAT
10048414,2014,DRAM,200,3,CAT
10106507,2014,DRAM,200,3,CAT
10086858,2014,DRAM,200,3,CAT
10081138,2014,DRAM,200,3,CAT
10053847,2014,DRAM,200,3,CAT
10104943,2014,DRAM,200,3,CAT
10099869,2014,DRAM,200,3,CAT
10085346,2014,DRAM,200,3,DNT
10096822,2014,DRAM,200,3,CAT
10104709,2014,DRAM,200,3,CAT
10091599,2014,DRAM,200,3,CAT
10048737,2014,DRAM,200,3,CAT
10104245,2014,DRAM,200,3,CAT
10096028,2014,DRAM,200,3,DNT
10110166,2014,DRAM,200,3,CAT
10091414,2014,DRAM,200,3,DNT
10090798,2014,DRAM,200,3,CAT
10061697,2014,DRAM,200,3,CAT
10111170,2014,DRAM,200,3,DNT
10094520,2014,DRAM,200,3,CAT
10093867,2014,DRAM,200,3,DNT
10112675,2014,DRAM,200,3,CAT
10092349,2014,DRAM,200,3,CAT
10108108,2014,DRAM,200,3,CAT
10103695,2014,DRAM,200,3,DNT
10100954,2014,DRAM,200,3,DNT
10042867,2014,DRAM,200,3,DNT
10090828,2014,DRAM,200,3,CAT
10090908,2014,DRAM,200,3,CAT
10118315,2014,DRAM,200,3,CAT
10108598,2014,DRAM,200,3,CAT
10086129,2014,DRAM,200,3,CAT
10092025,2014,DRAM,200,3,DNT
